,smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3,min_dist_all,local_index
0,C.C=CC(N)=C(O)O,7.0,6.0,8.0,7.0,6.0,2015
1,C.C=CC(N)=C=O.O,7.0,6.0,8.0,7.0,6.0,2020
2,C.C=C1C(N)=C1O.O,7.0,6.0,8.0,7.0,6.0,2150
3,C.C=C1C(N)=C1O.O,7.0,6.0,8.0,7.0,6.0,2157
4,C.C.C=C.N.O=CO,8.0,7.0,7.0,6.0,6.0,8757
5,C.C.C=CC(O)O.N,8.0,7.0,7.0,6.0,6.0,9267
6,C.C.C=CC=O.N.O,8.0,7.0,7.0,6.0,6.0,9274
7,C.C.C=CC(=O)O.N,7.0,6.0,6.0,5.0,5.0,9277
8,C.C.C=CC(=O)ON,8.0,7.0,7.0,6.0,6.0,9278
9,C.C.C=C1OC1=O.N,8.0,7.0,7.0,6.0,6.0,9355
10,C.C.C=C(N)C(=O)O,8.0,7.0,7.0,6.0,6.0,9479
11,C.C=CC(=O)OC.N,8.0,7.0,7.0,6.0,6.0,9845
12,C.C=CC(=O)O.CN,8.0,7.0,7.0,6.0,6.0,11371
13,C.C=CC.N.OCO,8.0,7.0,7.0,6.0,6.0,20054
14,C.C=CC.C=O.N.O,8.0,7.0,7.0,6.0,6.0,20061
15,C.C=CC.N.O=CO,7.0,6.0,6.0,5.0,5.0,20064
16,C.C=CC.NOC=O,8.0,7.0,7.0,6.0,6.0,20065
17,C.C=CC.N.O=C=O,8.0,7.0,7.0,6.0,6.0,20066
18,C.C=CC.NC(=O)O,8.0,7.0,7.0,6.0,6.0,20105
19,C.C=C(C)OC=O.N,8.0,7.0,7.0,6.0,6.0,20159
20,C.C=C(C)N.O=CO,8.0,7.0,7.0,6.0,6.0,20299
21,C.C=C(C)CO.N.O,8.0,7.0,7.0,6.0,6.0,20355
22,C.C=C(C)CO.N.O,8.0,7.0,7.0,6.0,6.0,20366
23,C.C=C(C)C(O)O.N,7.0,6.0,6.0,5.0,5.0,20374
24,C.C=C(C)C1OO1.N,8.0,7.0,7.0,6.0,6.0,20375
25,C.C=C(C)C(O)ON,8.0,7.0,7.0,6.0,6.0,20376
26,C.C=C(C)C(O)ON,8.0,7.0,7.0,6.0,6.0,20377
27,C.C=C(C)C(=O)O.N,8.0,7.0,7.0,6.0,6.0,20379
28,C.C=C(C)C=O.N.O,7.0,6.0,6.0,5.0,5.0,20381
29,C.C=C(C)C=O.NO,8.0,7.0,7.0,6.0,6.0,20382
30,C.C=C(C)C(=O)O.N,6.0,5.0,5.0,4.0,4.0,20384
31,C.C=C(C)C(=O)ON,7.0,6.0,6.0,5.0,5.0,20385
32,C.C=C(C)C(N)(O)O,8.0,7.0,7.0,6.0,6.0,20414
33,C.C=C(C)C(N)=O.O,8.0,7.0,7.0,6.0,6.0,20419
34,C.C=CCOC=O.N,8.0,7.0,7.0,6.0,6.0,20462
35,C.C=C1COC1O.N,8.0,7.0,7.0,6.0,6.0,20614
36,C.C=C(C=O)CO.N,8.0,7.0,7.0,6.0,6.0,20616
37,C.C=C1COC1=O.N,7.0,6.0,6.0,5.0,5.0,20618
38,C.C=C1COC1O.N,8.0,7.0,7.0,6.0,6.0,20886
39,C.C=CCN.O=CO,8.0,7.0,7.0,6.0,6.0,21195
40,C.C=C(CN)C(O)O,8.0,7.0,7.0,6.0,6.0,21395
41,C.C=C(C=O)CN.O,8.0,7.0,7.0,6.0,6.0,21402
42,C.C=C(CN)C(=O)O,7.0,6.0,6.0,5.0,5.0,21405
43,C.C=C1CNOC1=O,8.0,7.0,7.0,6.0,6.0,21406
44,C.C=C1C(=O)OC1N,8.0,7.0,7.0,6.0,6.0,21563
45,C.C=C(C=N)C(=O)O,8.0,7.0,7.0,6.0,6.0,22024
46,C.C=CCC(=O)O.N,8.0,7.0,7.0,6.0,6.0,22276
47,C.C=C1CC1(O)O.N,8.0,7.0,7.0,6.0,6.0,22544
48,C.C=C1CC1=O.N.O,8.0,7.0,7.0,6.0,6.0,22549
49,C.C=C=C.N.OCO,7.0,6.0,8.0,7.0,6.0,24644
50,C.C=C=C.C=O.N.O,7.0,6.0,8.0,7.0,6.0,24651
51,C.C=C=C.N.O=CO,6.0,5.0,7.0,6.0,5.0,24654
52,C.C=C=C.NOC=O,7.0,6.0,8.0,7.0,6.0,24655
53,C.C=C=C.N.O=C=O,7.0,6.0,8.0,7.0,6.0,24656
54,C.C=C=C.NC(=O)O,7.0,6.0,8.0,7.0,6.0,24695
55,C.C=C=COC=O.N,7.0,6.0,8.0,7.0,6.0,24749
56,C.C=C=CN.O=CO,7.0,6.0,8.0,7.0,6.0,24960
57,C.C=C=CC(=O)O.N,7.0,6.0,8.0,7.0,6.0,25174
58,C.C.N.O=C1C=CO1,8.0,7.0,7.0,6.0,6.0,25742
59,C.CC=COC=O.N,8.0,7.0,7.0,6.0,6.0,30283
60,C.CC1=COC1O.N,8.0,7.0,7.0,6.0,6.0,30435
61,C.CC(C=O)=CO.N,8.0,7.0,7.0,6.0,6.0,30437
62,C.CC1=COC1=O.N,7.0,6.0,6.0,5.0,5.0,30439
63,C.NCC1=COC1=O,8.0,7.0,7.0,6.0,6.0,30843
64,C.C=C=COC=O.N,7.0,6.0,8.0,7.0,6.0,32346
65,C.CC1=COC1O.N,8.0,7.0,7.0,6.0,6.0,39484
66,C.C.C=CN.OCO,8.0,7.0,7.0,6.0,6.0,46832
67,C.C.C=CN.C=O.O,8.0,7.0,7.0,6.0,6.0,46839
68,C.C.C=CN.O=CO,7.0,6.0,6.0,5.0,5.0,46842
69,C.C.C=CNOC=O,8.0,7.0,7.0,6.0,6.0,46843
70,C.C.C=CN.O=C=O,8.0,7.0,7.0,6.0,6.0,46844
71,C.C.C=CNC(=O)O,8.0,7.0,7.0,6.0,6.0,46872
72,C.C.NC=COC=O,8.0,7.0,7.0,6.0,6.0,46904
73,C.C.C1=CN1.O=CO,8.0,7.0,7.0,6.0,6.0,47050
74,C.C.NC=CCO.O,8.0,7.0,7.0,6.0,6.0,47139
75,C.C.NC=CCO.O,8.0,7.0,7.0,6.0,6.0,47149
76,C.C.NC=CC(O)O,7.0,6.0,6.0,5.0,5.0,47156
77,C.C.NC=CC1OO1,8.0,7.0,7.0,6.0,6.0,47157
78,C.C.OC1C=CNO1,8.0,7.0,7.0,6.0,6.0,47158
79,C.C.OC1C=CNO1,8.0,7.0,7.0,6.0,6.0,47159
80,C.C.NC=CC(=O)O,8.0,7.0,7.0,6.0,6.0,47161
81,C.C.NC=CC=O.O,7.0,6.0,6.0,5.0,5.0,47163
82,C.C.O=CC=CNO,8.0,7.0,7.0,6.0,6.0,47164
83,C.C.NC=CC(=O)O,6.0,5.0,5.0,4.0,4.0,47166
84,C.C.O=c1cc[nH]o1,7.0,6.0,6.0,5.0,5.0,47167
85,C.C.OC1(O)C=CN1,8.0,7.0,7.0,6.0,6.0,47187
86,C.C.O.O=C1C=CN1,8.0,7.0,7.0,6.0,6.0,47191
87,C.C.NC=C1OC1O,8.0,7.0,7.0,6.0,6.0,47215
88,C.C.NC=C(O)C=O,8.0,7.0,7.0,6.0,6.0,47217
89,C.C.NC=C1OC1=O,7.0,6.0,6.0,5.0,5.0,47219
90,C.C.NC=C1OC1O,8.0,7.0,7.0,6.0,6.0,47257
91,C.C.OC(O)C1=CN1,8.0,7.0,7.0,6.0,6.0,47299
92,C.C.O.O=CC1=CN1,8.0,7.0,7.0,6.0,6.0,47305
93,C.C.O=C(O)C1=CN1,7.0,6.0,6.0,5.0,5.0,47307
94,C.C.O=c1on2cc1-2,8.0,7.0,7.0,6.0,6.0,47308
95,C.C.NC=C=C(O)O,8.0,7.0,7.0,6.0,6.0,47348
96,C.C.NC=C=C=O.O,8.0,7.0,7.0,6.0,6.0,47353
97,C.C=CN.COC=O,8.0,7.0,7.0,6.0,6.0,47395
98,C.COC(O)C=CN,8.0,7.0,7.0,6.0,6.0,47542
99,C.CO.NC=CC=O,8.0,7.0,7.0,6.0,6.0,47544
100,C.COC(=O)C=CN,7.0,6.0,6.0,5.0,5.0,47546
101,C.COC(=O)C1=CN1,8.0,7.0,7.0,6.0,6.0,47618
102,C.COC(O)C=CN,8.0,7.0,7.0,6.0,6.0,47907
103,C.C=CNC.O=CO,8.0,7.0,7.0,6.0,6.0,48374
104,C.CNC=CC(O)O,8.0,7.0,7.0,6.0,6.0,48517
105,C.CNC=CC=O.O,8.0,7.0,7.0,6.0,6.0,48523
106,C.CNC=CC(=O)O,7.0,6.0,6.0,5.0,5.0,48525
107,C.Cn1ccc(=O)o1,8.0,7.0,7.0,6.0,6.0,48526
108,C.CNC=C1OC1=O,8.0,7.0,7.0,6.0,6.0,48553
109,C.CN1C=C1C(=O)O,8.0,7.0,7.0,6.0,6.0,48596
110,C.O=C1C=CNCO1,8.0,7.0,7.0,6.0,6.0,48716
111,C.C=NC=CC(=O)O,8.0,7.0,7.0,6.0,6.0,49183
112,C.C=CN.CC(=O)O,8.0,7.0,7.0,6.0,6.0,49387
113,C.CC(O)(O)C=CN,8.0,7.0,7.0,6.0,6.0,49677
114,C.CC(=O)C=CN.O,8.0,7.0,7.0,6.0,6.0,49682
115,C.CC=CN.CO.O,8.0,7.0,7.0,6.0,6.0,53380
116,C.CC=CN.CO.O,8.0,7.0,7.0,6.0,6.0,53390
117,C.CC=CN.OCO,7.0,6.0,6.0,5.0,5.0,53397
118,C.C1OO1.CC=CN,8.0,7.0,7.0,6.0,6.0,53398
119,C.CC=CNOCO,8.0,7.0,7.0,6.0,6.0,53399
120,C.CC=CNOCO,8.0,7.0,7.0,6.0,6.0,53400
121,C.CC=CN.O=CO,8.0,7.0,7.0,6.0,6.0,53402
122,C.C=O.CC=CN.O,7.0,6.0,6.0,5.0,5.0,53404
123,C.C=O.CC=CNO,8.0,7.0,7.0,6.0,6.0,53405
124,C.CC=CN.O=CO,6.0,5.0,5.0,4.0,4.0,53407
125,C.CC=CNOC=O,7.0,6.0,6.0,5.0,5.0,53408
126,C.CC=CN.O=C=O,7.0,6.0,6.0,5.0,5.0,53409
127,C.CC=CNC(O)O,8.0,7.0,7.0,6.0,6.0,53429
128,C.CC=CNC=O.O,8.0,7.0,7.0,6.0,6.0,53435
129,C.CC=CNC(=O)O,7.0,6.0,6.0,5.0,5.0,53437
130,C.CC=CN1OC1=O,8.0,7.0,7.0,6.0,6.0,53438
131,C.CC(=CN)OCO,8.0,7.0,7.0,6.0,6.0,53465
132,C.C=O.CC(O)=CN,8.0,7.0,7.0,6.0,6.0,53467
133,C.CC(=CN)OC=O,7.0,6.0,6.0,5.0,5.0,53469
134,C.Cc1c[nH]c(=O)o1,8.0,7.0,7.0,6.0,6.0,53485
135,C.CC(=CN)OCO,8.0,7.0,7.0,6.0,6.0,53510
136,C.CC1=CN1.OCO,8.0,7.0,7.0,6.0,6.0,53555
137,C.C=O.CC1=CN1.O,8.0,7.0,7.0,6.0,6.0,53561
138,C.CC1=CN1.O=CO,7.0,6.0,6.0,5.0,5.0,53563
139,C.CC1=CN1OC=O,8.0,7.0,7.0,6.0,6.0,53564
140,C.CC1=CN1.O=C=O,8.0,7.0,7.0,6.0,6.0,53565
141,C.CC1=CN1C(=O)O,8.0,7.0,7.0,6.0,6.0,53578
142,C.CC(C)=CN.O.O,8.0,7.0,7.0,6.0,6.0,53579
143,C.CC(=CN)CO.O,7.0,6.0,6.0,5.0,5.0,53590
144,C.CC(=CN)COO,8.0,7.0,7.0,6.0,6.0,53591
145,C.CC1=CNOC1.O,8.0,7.0,7.0,6.0,6.0,53592
146,C.CC(=CNO)CO,8.0,7.0,7.0,6.0,6.0,53593
147,C.CC(C=O)=CN.O,8.0,7.0,7.0,6.0,6.0,53597
148,C.CC(=CN)CO.O,7.0,6.0,6.0,5.0,5.0,53600
149,C.CC(=CN)COO,8.0,7.0,7.0,6.0,6.0,53601
150,C.CC(=CNO)CO,8.0,7.0,7.0,6.0,6.0,53602
151,C.CC1=CNOC1.O,8.0,7.0,7.0,6.0,6.0,53605
152,C.CC(=CN)C(O)O,6.0,5.0,5.0,4.0,4.0,53607
153,C.CC(=CN)C1OO1,7.0,6.0,6.0,5.0,5.0,53608
154,C.CC1=CNOC1O,7.0,6.0,6.0,5.0,5.0,53609
155,C.CC1=CNOC1O,7.0,6.0,6.0,5.0,5.0,53610
156,C.CC1=CN2OC1O2,8.0,7.0,7.0,6.0,6.0,53611
157,C.CC(=CN)C(=O)O,7.0,6.0,6.0,5.0,5.0,53612
158,C.Cc1c[nH]oc1=O,8.0,7.0,7.0,6.0,6.0,53613
159,C.CC(C=O)=CN.O,6.0,5.0,5.0,4.0,4.0,53614
160,C.CC(C=O)=CNO,7.0,6.0,6.0,5.0,5.0,53615
161,C.CC(C=O)=CN=O,8.0,7.0,7.0,6.0,6.0,53616
162,C.CC(=CN)C(=O)O,5.0,4.0,4.0,3.0,3.0,53617
163,C.Cc1c[nH]oc1=O,6.0,5.0,5.0,4.0,4.0,53618
164,C.CC1=CNC1O.O,8.0,7.0,7.0,6.0,6.0,53626
165,C.CC1=CNC1O.O,8.0,7.0,7.0,6.0,6.0,53633
166,C.CC1=CNC1(O)O,7.0,6.0,6.0,5.0,5.0,53638
167,C.CC1=CNC12OO2,8.0,7.0,7.0,6.0,6.0,53639
168,C.CC1=CN2OC12O,8.0,7.0,7.0,6.0,6.0,53640
169,C.CC1=CN2OC12O,8.0,7.0,7.0,6.0,6.0,53641
170,C.CC1=CNC1=O.O,7.0,6.0,6.0,5.0,5.0,53642
171,C.CC1=CN(O)C1=O,8.0,7.0,7.0,6.0,6.0,53643
172,C.NC=CCOCO,8.0,7.0,7.0,6.0,6.0,53666
173,C.C=O.NC=CCO,8.0,7.0,7.0,6.0,6.0,53668
174,C.NC=CCOC=O,7.0,6.0,6.0,5.0,5.0,53670
175,C.O=C1NC=CCO1,8.0,7.0,7.0,6.0,6.0,53686
176,C.O=COCC1=CN1,8.0,7.0,7.0,6.0,6.0,53747
177,C.NC=C1COC1.O,8.0,7.0,7.0,6.0,6.0,53763
178,C.NC=C(CO)CO,8.0,7.0,7.0,6.0,6.0,53766
179,C.NC=C1COC1O,7.0,6.0,6.0,5.0,5.0,53771
180,C.C1=C2COC2ON1,8.0,7.0,7.0,6.0,6.0,53772
181,C.NC=C(C=O)CO,7.0,6.0,6.0,5.0,5.0,53773
182,C.O=CC1=CNOC1,8.0,7.0,7.0,6.0,6.0,53774
183,C.NC=C1COC1=O,6.0,5.0,5.0,4.0,4.0,53775
184,C.OC12NC=C1CO2,8.0,7.0,7.0,6.0,6.0,53787
185,C.O=C1NC=C1CO,8.0,7.0,7.0,6.0,6.0,53789
186,C.NC=C(C=O)C=O,8.0,7.0,7.0,6.0,6.0,53831
187,C.NC=CCOCO,8.0,7.0,7.0,6.0,6.0,53856
188,C.NC=C(CO)CO,8.0,7.0,7.0,6.0,6.0,53951
189,C.NC=C1COC1.O,8.0,7.0,7.0,6.0,6.0,53958
190,C.NC=C1COC1O,7.0,6.0,6.0,5.0,5.0,53961
191,C.C1=C2COC2ON1,8.0,7.0,7.0,6.0,6.0,53962
192,C.NC=C1COC1=O,8.0,7.0,7.0,6.0,6.0,53963
193,C.OC12NC=C1CO2,8.0,7.0,7.0,6.0,6.0,53977
194,C.NC=C1C2OC1O2,8.0,7.0,7.0,6.0,6.0,54047
195,C.C1=CNC1.OCO,8.0,7.0,7.0,6.0,6.0,54171
196,C.C1=CNC1.C=O.O,8.0,7.0,7.0,6.0,6.0,54177
197,C.C1=CNC1.O=CO,7.0,6.0,6.0,5.0,5.0,54179
198,C.O=CON1C=CC1,8.0,7.0,7.0,6.0,6.0,54180
199,C.C1=CNC1.O=C=O,8.0,7.0,7.0,6.0,6.0,54181
200,C.O=C(O)N1C=CC1,8.0,7.0,7.0,6.0,6.0,54194
201,C.O=COC1=CNC1,8.0,7.0,7.0,6.0,6.0,54210
202,C.C1=C2CN12.O=CO,8.0,7.0,7.0,6.0,6.0,54255
203,C.O.OCC1=CNC1,8.0,7.0,7.0,6.0,6.0,54264
204,C.O.OCC1=CNC1,8.0,7.0,7.0,6.0,6.0,54271
205,C.OC(O)C1=CNC1,7.0,6.0,6.0,5.0,5.0,54276
206,C.C1=C(C2OO2)CN1,8.0,7.0,7.0,6.0,6.0,54277
